Gender,Stage Name,Full Name,Date of Birth,Group,Country,Second Country,Birthplace,Other Group,Former Group,Position,SK_Province,Short,Debut,Company,Members,Orig. Memb.,Fanclub Name,Active
Female,A-ra,Choi Eunji,2003-07-25,Girls' World,South Korea,,Seoul,,,,Seoul,,2022-06-20,Liz,4.0,4.0,Sweipi,Yes
Female,Aeji,Kwon Aeji,1999-10-25,Hashtag,South Korea,,Daegu,,,,Daegu,Hashtag,2017-10-11,LUK,7.0,7.0,,Yes
Female,AhIn,Lee Ahin,1999-09-27,MOMOLAND,South Korea,,Wonju,,,,Gangwon-do,,2016-11-09,Double Kick,6.0,7.0,,Yes
Female,Ahra,Go Ahra,2001-02-21,Favorite,South Korea,,Yeosu,,,,Jeollanam-do,,2017-07-05,Astory,6.0,6.0,,Yes
Female,Ahyeon,Jung Ahyeon,2007-04-11,BABYMONSTER,South Korea,,,,,,,,2023-11-27,YG,7.0,7.0,,Yes
Female,Ahyoon,Choi Subin,2004-10-23,BOTOPASS,South Korea,,,,,,,,2020-08-26,WKS ENE,8.0,8.0,,Yes
Female,Ahyoon,Shin Ahyoon,2003-09-24,Queenz Eye,South Korea,,Seoul,,,,Seoul,,2022-10-24,Big Mountain,6.0,6.0,,Yes
Female,Ahyoung,Cho Jayoung,1991-05-26,Dal Shabet,South Korea,,Seoul,,,,Seoul,,2011-01-03,Happy Face,4.0,6.0,Darling,Hiatus
Female,Ahyung,Kang Ahyoung,1996-08-27,P.O.P,South Korea,,Pohang,,,,Gyeongsangbuk-do,,2017-07-26,DWM,6.0,6.0,,No
Female,Aini,Kim Heejung,1991-07-13,,South Korea,,,,Pink Fantasy,,,,2018-10-28,,,,,No
Female,Aisha,Heo Yoorim,2000-07-21,Everglow,South Korea,,,,,,,,2019-03-18,Yuehua,6.0,6.0,,Yes
Female,Aki,Jang Minju,2001-02-12,MAJORS,South Korea,,,,,,,,2021-03-09,ANS,6.0,6.0,MVP,Yes
Female,Alice,Song Joohee,1990-03-21,Hello Venus,South Korea,,Wonju,,,,Gangwon-do,HV,2012-05-09,Fantagio,6.0,6.0,Hello Cupid,No
Female,Alice,Cheon Jaeyoung,2002-02-20,TRACER,South Korea,,,,,,,,2022-04-03,Gleamedia,4.0,4.0,,Yes
Female,Amber,Amber Josephine Liu,1992-09-18,f(x),USA,Taiwan,Los Angeles,,,,,,2009-09-05,SM,4.0,5.0,MeU,No
Female,Andamiro,Yeon Seongju,2003-05-06,Geenius,South Korea,,,,,,,,2024-01-05,HOMe,5.0,5.0,,Yes
Female,Anne,Lee Seoyoung,2000-10-17,GWSN,South Korea,,,,,,,,2018-09-05,Kiwi Pop,7.0,7.0,Groo,Yes
Female,Ara,Lee Yunji,2002-01-23,ILY:1,South Korea,,,,,,,,2022-04-04,FC ENM,6.0,6.0,,Yes
Female,Aran,Jeong Eunah,2004-10-11,FIFTY FIFTY,South Korea,,,,,,,,2022-11-18,ATTRAKT,4.0,4.0,Hunnies,Yes
Female,Arang,Son Mnjung,2000-03-08,,South Korea,,,,NeonPunch,,,,2018-06-27,,,,,No
Female,Arang,Park Yerim,2001-01-22,Pink Fantasy,South Korea,,,,,,,,2018-10-28,My Doll,8.0,8.0,,Yes
Female,Areum,Kim Daun,1998-01-31,AREAL,South Korea,,,,Rose Finger,,,,2020-08-21,JZ Factory,4.0,4.0,,No
Female,Ari,Kim Sunyoung,1994-10-23,Tahiti,South Korea,,Daegu,,,,Daegu,,2012-06-23,J-line,5.0,6.0,,No
Female,Aria,Baby Gauthami,2003-03-12,X:IN,India,,,,,,,,2023-04-11,Escrow,5.0,5.0,,Yes
Female,Arie,Jeon Minjae,2000-04-07,MIXX,South Korea,,,,,,,,2016-05-02,Chiko,5.0,4.0,,No
Female,Arin,Choi Yewon,1999-06-18,Oh My Girl,South Korea,,Busan,,,,Busan,OHMG,2015-04-21,WM,6.0,8.0,Miracle,Yes
Female,Asa,Enami Asa,2006-04-17,BABYMONSTER,Japan,,,,,,,,2023-11-27,YG,7.0,7.0,,Yes
Female,Ashley,Ashley Choi,1991-11-09,Ladies' Code,South Korea,USA,Incheon,,,,Incheon,LC,2013-03-07,Polaris,3.0,5.0,Lavely,Hiatus
Female,Aurora,Yang Lan,1997-01-14,NATURE,China,,,,,,,,2018-08-03,n.CH,9.0,9.0,,Yes
Female,Ayamy,Suzuki Ayami,2000-07-15,Bling Bling,Japan,,,,,,,,2020-11-17,Major9,6.0,6.0,,Yes
Female,Ayeon,Son Minji,2002-09-29,Saturday,South Korea,,,,,,,,2018-07-18,SD,6.0,7.0,,Yes
Female,Babysoul,Lee Soojung,1992-07-06,Lovelyz,South Korea,,Gwangju,,,Leader,Gwangju,,2014-11-17,Woollim,8.0,8.0,Lovelinus,No
Female,Bada,Kim Bada,2002-05-28,Hinapia,South Korea,,,,,,,,2019-11-03,Alseulbit,5.0,5.0,,No
Female,Bae,Bae Jinsol,2004-12-28,NMIXX,South Korea,,,,,,,,2022-02-22,JYP,6.0,7.0,NSWER,Yes
Female,Baekah,Kim Sua,1999-10-24,XUM,South Korea,,,,NeonPunch,,,,2020-09-22,A100,3.0,3.0,AWEXUM,No
Female,Bahiyyih,Huening Bahiyyih,2004-07-27,Kep1er,USA,South Korea,,,,,,,2022-09-07,WakeOne,9.0,9.0,,Yes
Female,Bekah,Rebecca Kim,1989-08-11,,South Korea,USA,Honolulu,,After School,,,,2009-01-15,,,,,No
Female,Belle,Jin Hyeonjoo,2001-11-03,cignature,South Korea,,Goyang,UNIS,Good Day,,Gyeonggi-do,,2017-08-30,C9,7.0,7.0,,Yes
Female,Belle,Shim Hyewon,2004-03-20,KISS OF LIFE,South Korea,USA,Seattle,,,,,,2023-06-05,S2,4.0,4.0,KISSY,Yes
Female,Bessie,Kim Susanna,2004-07-15,Lapillus,South Korea,,Changwon,,,,Gyeongsangnam-do,,2022-06-22,MLD,6.0,6.0,LAPIS,Yes
Female,Bian,Yu Jiwon,2001-02-13,MAJORS,South Korea,,,,ANS,,,,2021-03-09,ANS,6.0,6.0,MVP,Yes
Female,Blue,Jung Gahee,1994-01-18,Pungdeng-E,South Korea,,Gwangju,,,,Gwangju,,2013-12-11,DOMA,3.0,3.0,,Hiatus
